,mean_value,CellType,treatment,hallmark
251,9.328924,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
252,9.133818,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
253,9.398261,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
254,9.265724,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
255,9.249276,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
256,9.274694,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
257,9.223879,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
258,9.242795,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
259,9.225487,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
260,9.171505,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
261,9.270932,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
262,9.353238,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
263,9.493063,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
264,9.391813,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
265,9.148657,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
266,9.397364,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
267,9.388667,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
268,9.400112,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
269,9.31281,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
270,9.489222,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
271,9.436106,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
272,9.353543,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
273,9.433588,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
274,9.299124,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
275,9.339245,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
276,9.193126,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
277,9.2711935,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
278,9.413981,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
279,9.343272,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
280,9.17701,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
281,9.520947,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
282,9.58779,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
283,9.393215,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
284,9.435048,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
285,9.617056,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
286,9.222672,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
287,9.283215,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
288,9.217275,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
289,9.277035,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
290,9.483867,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
291,9.265976,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
292,9.119394,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
293,9.577474,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
294,9.131719,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
295,9.2540045,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
296,9.253541,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
297,9.285163,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
298,9.24296,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
299,9.233853,CD8T,IFNb_Ctrl_2h,hallmark_ifnb
300,9.383758,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
301,9.562566,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
302,9.339252,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
303,9.420684,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
304,9.329116,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
305,9.410727,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
306,9.192122,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
307,9.541123,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
308,9.436855,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
309,9.548047,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
310,9.3268385,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
311,9.426759,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
312,9.322597,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
313,9.357669,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
314,9.381859,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
315,9.503053,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
316,9.258223,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
317,9.707898,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
318,9.505392,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
319,9.338049,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
320,9.290197,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
321,9.262746,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
322,9.480992,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
323,9.370602,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
324,9.265297,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
325,9.40538,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
326,9.349926,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
327,9.592306,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
328,9.284545,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
329,9.358371,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
330,9.352455,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
331,9.574845,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
332,9.326182,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
333,9.328327,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
334,9.241827,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
335,9.601374,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
336,9.479794,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
337,9.457256,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
338,9.440116,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
339,9.234714,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
340,9.38812,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
341,9.266592,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
342,9.6082945,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
343,9.184307,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
344,9.248945,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
345,9.527165,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
346,9.249541,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
347,9.587409,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
348,9.4676695,Monocyte,IFNb_Ctrl_2h,hallmark_ifnb
